index,case_id,classification,doc_id,quoteText,score,service,service_id,source,status
1000,227,good,3116.0,"In this context, Bitdefender processes personal data for the following main purposes:</p>",30, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1001,231,good,3116.0,"Access to certain sections of Bitdefender websites is protected by a username and password.
We recommend not to reveal this password.
Bitdefender will never ask for your account's password via any kind of messages or phone calls.
We advise not to disclose your password to anyone asking you to do so.
If possible, we also recommend to log out of your online services account after each session.
We also advice to close the browser window after navigating or using Bitdefender services.</p>
<p>Unfortunately, transferring data over the Internet cannot be 100% secure.",40, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1002,195,good,3116.0,"According to European Union applicable data protection legislation, data subjects shall have the right to access to data, rectification, erasure, restriction on processing",50, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1003,167,good,3116.0,"Exceptionally, Bitdefender may reveal personal data to competent authorities, upon their legal request according to the applicable laws or when this is necessary to protect the rights and interests of our clients and Bitdefender.</p>",50, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1004,193,good,3119.0,"We do not sell you data.
",25, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-home-users-solutions.html,approved
1005,210,good,3116.0,"These companies are considered data processors and have strict contractual obligations to keep the confidentiality of the processed data and to offer at least the same level of security as Bitdefender.
Data processors have the obligation not to allow third parties to process personal data on behalf of Bitdefender and to access, use and/or keep the data secure and confidential.",20, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1006,297,good,3116.0,"
<strong>2.
Personal data collected</strong>
</p>
<p>Bitdefender may collect personal information from its users in four different ways:",50, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1007,128,bad,3116.0,"ometimes we might use external Bitdefender services which may place third party cookies when navigating the Bitdefender websites, their purposes are for marketing, traffic analysis and social media sharing, as indicated in website.</p>
<p>",70, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1008,303,good,3116.0,"The data is kept only as long as they are necessary for these purposes.
The legal basis for this collection is legitimate interest for Improving our website for the ensuring the security of your website.",50, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1009,325,bad,3116.0,"We also use other external services of traffic analysis, such as Google Analytics, Adobe Analytics.</p>",10, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1010,336,bad,3116.0,Cookies may also be used for website optimization or marketing.</p>,50, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1011,382,bad,3116.0,Bitdefender may use other IT companies to process the collected personal data.,50, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1012,387,bad,3116.0,or the referral website that sent you to Bitdefender websites.,50, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1013,399,neutral,3116.0,"2.2.
Traffic data</strong> – when a user visits a website, it automatically reveals certain information, such as the IP address,",0, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1014,375,neutral,3116.0,"Most browsers are configured to automatically accept cookies.
However, you can decide to reinstall the browser or to set it up in order to notify you each time a cookie is placed or even to refuse cookies.
If your browser is configured not to allow all cookies some sections of our website may not be correctly displayed.</p>",50, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1015,121,bad,3116.0,The privacy policy has been adopted on 10 May 2018 and will be modified each time is necessary without prior or future notice of the changes.,70, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1016,300,good,3116.0,"For exercising these rights, you may send a written request, dated and signed and send it to the above mentioned Bitdefender headquarters or via email to privacy@bitdefender.com</p>
<p>You also have the right to to lodge a complaint with a competent supervisory authority.",30, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1017,223,good,3119.0,"As regards the use of these data for marketing purposes, the legal basis we use is legitimate interest for marketing communications with users of our Home Solutions (based on Recital 47 of GDPR and Romanian law 506/2004, art 12 (2) that is implementing the EU E-privacy directive), unless those persons have opted out.</p>",10, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-home-users-solutions.html,approved
1018,196,good,3119.0,"we collect only that personal data absolutely necessary for the specified purposes, on a best efforts basis.",60, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-home-users-solutions.html,approved
1019,177,good,3116.0,"Bitdefender, like any other website manager, may record this kind of information for a limited period of time.
",80, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1020,191,neutral,3116.0,"Most of these data is being used only as aggregated data.
",10, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1021,140,good,3116.0,and right to data portability.,40, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1022,148,neutral,3116.0,"Consequently, despite our efforts to protect personal data, Bitdefender cannot assure or guarantee the security of the information transmitted by the user until the information is on our servers.
Any information you transmit is done on your own risk.</p>",10, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1023,126,neutral,3116.0,"For example, we use first party cookies for identification or communication purposes, such remembering your language, communication sessions or setting, other details necessary for a correct functioning of our website.</p>",10, BitDefender,2416,https://www.bitdefender.com/site/view/legal-privacy-policy-for-bitdefender-websites.html,approved
1024,122,neutral,1232.0,"Bitly reserves the right, in its sole discretion, to modify or replace this Agreement at any time.
If we modify these Terms, we will post the modification on our site or provide you with notice of the modification on your Bitly Account Details page.",0, bitly,224,https://bitly.com/pages/terms-of-service,approved
1025,146,bad,1232.0,"Customer will defend, indemnify and hold harmless Bitly, its parents, subsidiaries, affiliates and their employees, officers, directors, representatives, contractors, customers, business partners, successors and assigns (“Bitly Indemnitees”) from and against any third party claims and actions,",60, bitly,224,https://bitly.com/pages/terms-of-service,approved
1026,139,bad,1232.0,"Customer hereby grants to Bitly an irrevocable, perpetual, non-exclusive, sublicensable, transferable, royalty-free, worldwide license, to use, copy, import, display, reproduce, perform, distribute, create derivative works, alter or modify all URLs and other information provided by Customer to Bitly (“Customer Content”) in connection with the provision, operation and promotion of the Bitly Services, creation of Bitly Link Metrics and for other business purposes.",50, bitly,224,https://bitly.com/pages/terms-of-service,approved
1027,195,good,1233.0,"If you have a Bitly Account, you may access, correct, or request deletion of your personal information by logging into your Account.",50, bitly,224,https://bitly.com/pages/privacy,approved
1028,286,bad,1232.0,"BITLY SERVICES ARE PROVIDED “AS IS” AND “AS AVAILABLE” WITHOUT WARRANTY OF ANY KIND, EXPRESS OR IMPLIED, INCLUDING, BUT NOT LIMITED TO, THE IMPLIED WARRANTIES OF TITLE, NON-INFRINGEMENT, MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE, AND ANY WARRANTIES IMPLIED BY ANY COURSE OF PERFORMANCE OR USAGE OF TRADE, ALL OF WHICH ARE EXPRESSLY DISCLAIMED.",20, bitly,224,https://bitly.com/pages/terms-of-service,approved
1029,182,bad,1232.0,"However, if Customer does so, all right, title and interest in and to such Feedback shall be assigned to, and shall become the sole and exclusive property of, Bitly upon its creation.",50, bitly,224,https://bitly.com/pages/terms-of-service,approved
